word,html_ruby,ローマ字,meaning
ご飯,ご<rt></rt>飯<rt>はん</rt>,gohan,rice; meal
一年生,一<rt>いち</rt>年<rt>ねん</rt>生<rt>せい,ichinensei,first year; freshman
三年生,三<rt>さん</rt>年<rt>ねん</rt>生<rt>せい</rt>,sannensei,third year; junior
中学,中<rt>ちゅう</rt>学<rt>がく</rt>,chuugaku,middle school
乗る,乗<rt>の</rt>る,noru,to ride
二年生,二<rt>に</rt>年<rt>ねん</rt>生<rt>せい</rt>,ninensei,second year; sophomore
仕事,仕<rt>し</rt>事<rt>ごと</rt>,shigoto,work
会う,会<rt>あ</rt>う,au,to meet
元気,元<rt>げん</rt>気<rt>き</rt>,genki,
前,前<rt>まえ</rt>,mae,in front
友達,友<rt>とも</rt>達<rt>だち</rt>,tomodachi,friend
名前,名<rt>な</rt>前<rt>まえ</rt>,namae,name
四年生,四<rt>よ</rt>年<rt>ねん</rt>生<rt>せい</rt>,yonensei,fourth year; senior
大好き,大<rt>だい</rt>好<rt>す</rt>き,daisuki,
大学,大<rt>だい</rt>学<rt>がく</rt>,daigaku,college
好き,好<rt>す</rt>き,suki,likable; desirable
学校,学<rt>がっ</rt>校<rt>こう</rt>,gakkou,school
専攻,専<rt>せん</rt>攻<rt>こう</rt>,senkou,major
小学,小<rt>しょう</rt>学<rt>がく</rt>,shougaku,elementary school
忙しい,忙<rt>いそが</rt>しい,isogashii,busy
手,手<rt>て</rt>,te,hand
手紙,手<rt>て</rt>紙<rt>がみ</rt>,tegami,letter
日本語,日<rt>に</rt>本<rt>ほん</rt>語<rt>ご</rt>,nihongo,Japanese language
明日,明日<rt>あした</rt>,ashita,tomorrow
映画,映<rt>えい</rt>画<rt>が</rt>,eiga,movie
映画館,映<rt>えい</rt>画<rt>が</rt>館<rt>かん</rt>,eigakan,movie theatre
書く,書<rt>か</rt>く,kaku,to write
本,本<rt>ほん</rt>,hon,book
生,生<rt>なま</rt>,nama,raw
相変わらず,相<rt>あい</rt>変<rt>か</rt>わらず,aikawarazu,as ever; as usual; the same; still
私,私<rt>わたし</rt>,watashi,I
立つ,立<rt>た</rt>つ,tatsu,to stand
簡単,簡<rt>かん</rt>単<rt>たん</rt>,kantan,easy
紙,紙<rt>かみ</rt>,kami,paper
経済,経<rt>けい</rt>済<rt>ざい</rt>,keizai,economy
経済学,経<rt>けい</rt>済<rt>ざい</rt>学<rt>がく</rt>,keizaigaku,economics
絶対,絶<rt>ぜっ</rt>対<rt>たい</rt>,zettai,
聞く,聞<rt>き</rt>く,kiku,to hear
行く,行<rt>い</rt>く,iku,to go
見る,見<rt>み</rt>る,miru,to see;to watch
親戚,親<rt>しん</rt>戚<rt>せき</rt>,shinseki,relative
話す,話<rt>はな</rt>す,hanasu,to talk
読む,読<rt>よ</rt>む,yomu,to read
読書,読<rt>どく</rt>書<rt>しょ</rt>,dokusho,reading
趣味,趣<rt>しゅ</rt>味<rt>み</rt>,shumi,hobby; hobbies; interests
送る,送<rt>おく</rt>る,okuru,to send
遊ぶ,遊<rt>あそ</rt>ぶ,asobu,to play
難しい,難<rt>むずか</rt>しい,muzukashii,difficult
面白い,面<rt>おも</rt>白<rt>しろ</rt>い,omoshiroi,interesting; funny
食べる,食<rt>た</rt>べる,taberu,to eat
食べ物,食<rt>た</rt>べ<rt></rt>物<rt>もの</rt>,tabemono,food
高校,高<rt>こう</rt>校<rt>こう</rt>,koukou,high school
魚,魚<rt>さかな</rt>,sakana,fish
